Player,Club,Positions,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots on target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card,Defensive duels,Defensive duels won,Loose ball duels,Loose ball duels won,Sliding tackles,Sliding tackles successful,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels,Offensive duels won,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes,Through passes accurate,xA,Second assists,Passes to final third,Passes to final third accurate,Passes to penalty area,Passes to penalty area accurate,Received passes,Forward passes,Forward passes accurate,Back passes,Back passes accurate,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Passes to GK,Passes to GK accurate,Goal kicks,Short goal kicks,Long goal kicks
Vitinha,PSG,"DMF, DMF, LCMF, DMF, LCMF, RCMF, DMF, LCMF3, DMF, LCMF3, RCMF, DMF, LCMF3, RCMF3, DMF, LDMF, DMF, RCMF3, LCMF, LCMF, RCMF, LCMF3, LCMF3, RCMF, LDMF, LDMF, RDMF, RCMF, RCMF3, RDMF",5668.0,6588.0,5694.0,8.0,7.0,71.0,24.0,6.4,5562.0,5224.0,450.0,339.0,43.0,23.0,81.0,47.0,583.0,290.0,28.0,9.0,196.0,419.0,149.0,421.0,220.0,88.0,0.0,216.0,136.0,64.0,31.0,1.0,0.0,47.0,25.0,2.0,0.0,50.0,275.0,114.0,59.0,0.0,158.0,38.0,66.0,29.0,3.66,5.0,848.0,767.0,151.0,91.0,4601.0,1360.0,1213.0,752.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,1.0,0.0
M. Thuram,Internazionale,"AMF, CF, CF, LWB, RWF, CF, RWF, LAMF, LW, LWF",4136.0,2226.0,1170.0,19.0,5.0,97.0,38.0,16.11,910.0,713.0,11.0,5.0,33.0,9.0,113.0,70.0,941.0,391.0,185.0,77.0,67.0,463.0,125.0,111.0,68.0,224.0,0.0,137.0,86.0,166.0,61.0,2.0,0.0,27.0,43.0,3.0,0.0,52.0,453.0,167.0,200.0,28.0,101.0,72.0,5.0,2.0,7.03,4.0,54.0,39.0,55.0,37.0,636.0,165.0,107.0,317.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
O. Dembélé,PSG,"AMF, CF, CF, LW, RW, RWF, CF, LWF, RWF, CF, RAMF, RWF, CF, RWF, LAMF, RAMF, LCMF3, RAMF, RW, RW, CF, RWF",4312.0,3522.0,2203.0,36.0,12.0,207.0,97.0,25.07,2206.0,1746.0,103.0,70.0,157.0,39.0,347.0,199.0,739.0,321.0,39.0,7.0,37.0,600.0,92.0,105.0,73.0,180.0,56.0,113.0,56.0,45.0,12.0,1.0,0.0,5.0,25.0,3.0,1.0,112.0,542.0,246.0,313.0,27.0,272.0,36.0,55.0,24.0,12.97,8.0,252.0,196.0,245.0,137.0,2038.0,545.0,398.0,453.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,1.0
K. Kvaratskhelia,PSG,"AMF, CF, CF, CF, LAMF, LWF, CF, LW, CF, LWB, CF, LWF, CF, LWF, RWF, LAMF, LAMF, LW, LAMF, RAMF, LW, LW, LWF, LWB, LWF, LWF, RWF, RAMF, RWF",4424.0,3405.0,2159.0,15.0,9.0,168.0,60.0,14.049999999999999,1804.0,1546.0,99.0,60.0,90.0,38.0,349.0,181.0,1106.0,490.0,54.0,15.0,77.0,540.0,105.0,164.0,101.0,277.0,0.0,229.0,133.0,77.0,23.0,7.0,4.0,23.0,44.0,4.0,0.0,82.0,746.0,319.0,265.0,5.0,308.0,98.0,39.0,18.0,9.83,7.0,158.0,117.0,136.0,82.0,1617.0,365.0,270.0,558.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0
Bruno Fernandes,Manchester United,"AMF, AMF, CF, AMF, DMF, LCMF, RCMF, AMF, LAMF, AMF, LCMF, AMF, LCMF, RCMF, AMF, RAMF, AMF, RCMF, AMF, RDMF, CF, LCMF, LCMF, LCMF3, LCMF, LW, LCMF, LWF, LCMF, LWF, RCMF, LCMF, LWF, RWF, LCMF, RCMF, LCMF, RCMF, RCMF3, LCMF, RCMF, RWF, LCMF, RWF, LCMF3, LWF, CF, LCMF3, RCMF3, LWF, LWF, RCMF, LWF, RCMF, RWF, RCMF, RCMF3",6258.0,5527.0,3680.0,20.0,19.0,168.0,55.0,18.080000000000002,3672.0,2965.0,473.0,285.0,179.0,55.0,123.0,75.0,1020.0,515.0,113.0,45.0,204.0,879.0,237.0,431.0,235.0,463.0,170.0,372.0,226.0,161.0,70.0,20.0,10.0,60.0,61.0,9.0,3.0,139.0,374.0,174.0,156.0,3.0,133.0,78.0,100.0,36.0,16.23,3.0,582.0,415.0,362.0,204.0,2891.0,1224.0,885.0,657.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,70.0,0.0,0.0,0.0
N. Barella,Internazionale,"AMF, AMF, RW, DMF, DMF, LCMF, RCMF3, DMF, LCMF3, DMF, LCMF3, RCMF3, DMF, LCMF3, RCMF3, CF, DMF, RCMF, RCMF3, DMF, RCMF3, LCMF, LCMF, LCMF3, RCMF3, LCMF, RCMF3, RW, LCMF, RW, LCMF3, LCMF3, RCMF3, RCMF, RCMF, RCMF3, RCMF3, RCMF3, RW",5180.0,4528.0,3242.0,3.0,9.0,70.0,14.0,3.54,3253.0,2766.0,327.0,182.0,107.0,40.0,102.0,50.0,896.0,421.0,101.0,47.0,114.0,604.0,157.0,360.0,184.0,726.0,0.0,298.0,180.0,115.0,48.0,13.0,6.0,16.0,49.0,8.0,0.0,72.0,382.0,146.0,83.0,12.0,99.0,65.0,107.0,38.0,8.54,5.0,527.0,372.0,257.0,128.0,2631.0,1010.0,738.0,490.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0
A. Isak,Newcastle United,"AMF, CF, CF, CF, LW, CF, RCMF3, LW, CF",4254.0,2125.0,1066.0,32.0,8.0,144.0,66.0,30.080000000000002,973.0,755.0,26.0,17.0,48.0,16.0,163.0,78.0,664.0,225.0,109.0,28.0,60.0,425.0,88.0,86.0,65.0,80.0,0.0,96.0,50.0,100.0,30.0,0.0,0.0,26.0,40.0,1.0,0.0,49.0,359.0,117.0,260.0,33.0,107.0,26.0,18.0,7.0,5.909999999999999,4.0,83.0,65.0,93.0,54.0,782.0,236.0,161.0,228.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D. Doué,PSG,"AMF, CF, AMF, LAMF, AMF, RAMF, RCMF3, CF, CF, LAMF, CF, LW, CF, LWF, CF, RWF, LAMF, LCMF3, LCMF3, LW, LCMF3, LWF, RWF, LCMF3, RB, LCMF3, RCMF3, LDMF, RAMF, LW, RW, LWF, LWF, RCMF3, LWF, RWF, RCMF, RCMF3, RCMF3, RWF, RW, RW, CF, RWF",4033.0,3753.0,2385.0,15.0,11.0,137.0,54.0,14.259999999999998,2105.0,1743.0,69.0,45.0,149.0,46.0,424.0,211.0,1238.0,555.0,46.0,19.0,109.0,632.0,107.0,190.0,120.0,167.0,0.0,297.0,174.0,86.0,28.0,13.0,8.0,11.0,59.0,3.0,0.0,81.0,809.0,334.0,235.0,9.0,205.0,79.0,28.0,12.0,9.98,7.0,200.0,145.0,189.0,101.0,1784.0,449.0,323.0,535.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0
Pau Cubarsí,Barcelona,"CB, LCB, LCB, LCB, LCB3, LCB, RCB, RCB",5221.0,5049.0,4378.0,1.0,3.0,8.0,2.0,1.19,4240.0,4005.0,224.0,132.0,2.0,1.0,7.0,6.0,547.0,324.0,198.0,109.0,194.0,322.0,177.0,493.0,120.0,217.0,21.0,249.0,168.0,74.0,31.0,18.0,10.0,104.0,42.0,5.0,1.0,7.0,26.0,16.0,20.0,1.0,54.0,17.0,15.0,7.0,0.86,3.0,517.0,455.0,29.0,10.0,3281.0,1460.0,1282.0,167.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,141.0,0.0,12.0,0.0
Raphinha,Barcelona,"AMF, AMF, CF, AMF, LAMF, AMF, LAMF, LW, AMF, LAMF, RAMF, AMF, LWF, AMF, RAMF, RW, AMF, RCMF3, CF, CF, LAMF, CF, LAMF, LW, CF, LW, LAMF, LAMF, LW, RCMF3, LAMF, LW, RW, LAMF, LWB, RWF, LAMF, RAMF, LAMF, RW, LB, LW, LWF, LWF, RCMF3, RAMF",5996.0,3896.0,2310.0,38.0,23.0,216.0,92.0,27.53,2346.0,1801.0,149.0,77.0,210.0,67.0,203.0,112.0,742.0,337.0,45.0,20.0,153.0,719.0,117.0,209.0,142.0,519.0,0.0,172.0,100.0,80.0,28.0,6.0,1.0,32.0,27.0,7.0,0.0,144.0,445.0,189.0,285.0,26.0,154.0,67.0,69.0,20.0,22.450000000000003,7.0,235.0,156.0,263.0,125.0,1981.0,465.0,284.0,510.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
K. Mbappé,Real Madrid,"CF, CF, LAMF, CF, LWF, LWF",5653.0,3413.0,2161.0,46.0,5.0,277.0,141.0,45.52,1906.0,1585.0,80.0,62.0,98.0,25.0,406.0,203.0,973.0,391.0,29.0,8.0,29.0,552.0,63.0,106.0,93.0,398.0,38.0,70.0,33.0,108.0,32.0,2.0,1.0,2.0,40.0,6.0,1.0,68.0,766.0,318.0,432.0,50.0,240.0,66.0,16.0,7.0,9.48,7.0,156.0,135.0,143.0,90.0,1735.0,378.0,284.0,443.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
W. Pacho,PSG,"CB, CB, LCB, CB, LCB3, RCB, LB, LCB, LCB, RCB, RCB",5888.0,5595.0,4724.0,0.0,2.0,5.0,2.0,0.33999999999999997,4429.0,4159.0,237.0,113.0,2.0,1.0,7.0,1.0,798.0,515.0,192.0,112.0,259.0,395.0,261.0,716.0,146.0,122.0,81.0,377.0,277.0,162.0,103.0,6.0,4.0,120.0,48.0,2.0,1.0,6.0,67.0,23.0,14.0,1.0,27.0,15.0,16.0,2.0,0.5,3.0,296.0,247.0,16.0,6.0,3519.0,1090.0,894.0,224.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,146.0,0.0,12.0,0.0
